proto,routeVer,srcIdHex,parentAlias,path,destAlias,seqHex,tsOrigin,slotId,lat,lon,hopCount,netFlags,retryCount,backlogCount,frameIdx,posInFrame,e2eLat,avgLatHop,hopRssiSum,avgRssi,hopSnrSum,avgSnr,throughput,linkMargin,packetLoss,packetSizeBytes
01,1,E21FB5,S,N1,S,0002,1779543130,3,0.000000,0.0,1,00,0,0,29659052,10,1,1.000,-25,-25.0,67.00,67.0,928.0,99.0,0,116
01,1,E21FB5,S,N1,S,0003,1779543190,3,-7.388190,0.0,1,00,0,0,29659053,10,2,2.000,-71,-71.0,21.00,21.0,476.0,53.0,0,119
01,1,E21FB5,S,N1,S,0004,1779543250,3,-7.388170,0.0,1,00,0,0,29659054,10,2,2.000,-76,-76.0,16.00,16.0,476.0,48.0,0,119
01,1,E21FB5,S,N1,S,0005,1779543310,3,-7.388146,0.0,1,00,0,0,29659055,10,2,2.000,-79,-79.0,13.00,13.0,476.0,45.0,0,119
01,1,E21FB5,S,N1,S,0006,1779543430,3,-7.388167,0.0,1,00,0,0,29659057,10,2,2.000,-82,-82.0,10.00,10.0,476.0,42.0,0,119
01,1,E21FB5,S,N1,S,0007,1779543490,3,-7.388183,0.0,1,00,0,0,29659058,10,2,2.000,-80,-80.0,12.00,12.0,476.0,44.0,0,119
01,1,E21FB5,S,N1,S,0008,1779543610,3,-7.388157,0.0,1,00,0,0,29659060,10,2,2.000,-80,-80.0,12.00,12.0,476.0,44.0,0,119
01,1,E21FB5,S,N1,S,0009,1779543670,3,-7.388157,0.0,1,00,0,0,29659061,10,2,2.000,-80,-80.0,12.00,12.0,476.0,44.0,0,119
01,1,E21FB5,S,N1,S,000A,1779543730,3,-7.388157,0.0,1,00,0,0,29659062,10,2,2.000,-83,-83.0,9.00,9.0,476.0,41.0,0,119
03,1,DE5C6F,S,R1,S,0001,1779543900,1,0.000000,0.0,1,00,0,0,29659065,0,1,1.000,-71,-71.0,21.00,21.0,904.0,53.0,0,113
03,1,DE5C6F,S,R1,S,0002,1779543960,1,0.000000,0.0,1,00,0,0,29659066,0,1,1.000,-73,-73.0,19.00,19.0,904.0,51.0,0,113
03,1,DE5C6F,S,R1,S,0003,1779544020,1,0.000000,0.0,1,00,0,0,29659067,0,1,1.000,-66,-66.0,26.00,26.0,904.0,58.0,0,113
03,1,DE5C6F,S,R1,S,0004,1779544080,1,0.000000,0.0,1,00,0,0,29659068,0,1,1.000,-31,-31.0,61.00,61.0,904.0,93.0,0,113
01,1,E21FB5,S,N1,S,000B,1779544090,3,-7.388123,0.0,1,00,0,0,29659068,10,5,5.000,-83,-83.0,9.00,9.0,190.4,41.0,0,119
03,1,DE5C6F,S,R1,S,0005,1779544140,1,0.000000,0.0,1,00,0,0,29659069,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
02,1,E21FB5,S,N1-R1,S,000C,1779544150,3,-7.388150,0.0,2,00,0,0,29659069,10,6,3.000,-155,-77.5,29.00,14.5,128.0,46.5,0,96
03,1,DE5C6F,S,R1,S,0006,1779544200,1,0.000000,0.0,1,00,0,0,29659070,0,1,1.000,-78,-78.0,14.00,14.0,904.0,46.0,0,113
02,1,E21FB5,S,N1-R1,S,000D,1779544210,3,-7.388150,0.0,2,00,0,0,29659070,10,3,1.500,-164,-82.0,20.00,10.0,256.0,42.0,0,96
03,1,DE5C6F,S,R1,S,0007,1779544260,1,0.000000,0.0,1,00,0,0,29659071,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
02,1,E21FB5,S,N1-R1,S,000E,1779544270,3,-7.388150,0.0,2,00,0,0,29659071,10,3,1.500,-159,-79.5,25.00,12.5,256.0,44.5,0,96
03,1,DE5C6F,S,R1,S,0008,1779544320,1,0.000000,0.0,1,00,0,0,29659072,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
02,1,E21FB5,S,N1-R1,S,000F,1779544330,3,-7.388143,0.0,2,00,0,0,29659072,10,3,1.500,-161,-80.5,23.00,11.5,256.0,43.5,0,96
03,1,DE5C6F,S,R1,S,000C,1779544560,1,0.000000,0.0,1,00,0,0,29659076,0,1,1.000,-67,-67.0,25.00,25.0,904.0,57.0,3,113
03,1,DE5C6F,S,R1,S,000D,1779544620,1,0.000000,0.0,1,00,0,0,29659077,0,1,1.000,-29,-29.0,63.00,63.0,904.0,95.0,3,113
03,1,DE5C6F,S,R1,S,000E,1779544680,1,0.000000,0.0,1,00,0,0,29659078,0,1,1.000,-43,-43.0,49.00,49.0,904.0,81.0,3,113
