proto,routeVer,srcIdHex,parentAlias,path,destAlias,seqHex,tsOrigin,slotId,lat,lon,hopCount,netFlags,retryCount,backlogCount,frameIdx,posInFrame,e2eLat,avgLatHop,hopRssiSum,avgRssi,hopSnrSum,avgSnr,throughput,linkMargin,packetLoss,packetSizeBytes
01,1,1D462D,S,N2,S,0001,1779251720,4,0.000000,0.0,1,00,0,0,29654195,20,1,1.000,-39,-39.0,53.00,53.0,928.0,85.0,0,116
01,1,1D462D,S,N2,S,0002,1779251780,4,0.000000,0.0,1,00,0,0,29654196,20,1,1.000,-42,-42.0,50.00,50.0,928.0,82.0,0,116
01,1,1D462D,S,N2,S,0003,1779251840,4,0.000000,0.0,1,00,0,0,29654197,20,1,1.000,-41,-41.0,51.00,51.0,928.0,83.0,0,116
01,1,1D462D,S,N2,S,0004,1779251900,4,0.000000,0.0,1,00,0,0,29654198,20,1,1.000,-42,-42.0,50.00,50.0,928.0,82.0,0,116
01,1,1D462D,S,N2,S,0005,1779251960,4,0.000000,0.0,1,00,0,0,29654199,20,1,1.000,-42,-42.0,50.00,50.0,928.0,82.0,0,116
01,1,1D462D,S,N2,S,0006,1779252020,4,0.000000,0.0,1,00,0,0,29654200,20,1,1.000,-82,-82.0,10.00,10.0,928.0,42.0,0,116
01,1,1D462D,S,N2,S,0007,1779252080,4,0.000000,0.0,1,00,0,0,29654201,20,1,1.000,-82,-82.0,10.00,10.0,928.0,42.0,0,116
03,1,DE5C6F,S,R1,S,0001,1779252300,1,0.000000,0.0,1,00,0,0,29654205,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
03,1,DE5C6F,S,R1,S,0002,1779252360,1,0.000000,0.0,1,00,0,0,29654206,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
02,1,1D462D,S,N2-R1,S,0009,1779252380,4,0.000000,0.0,2,00,0,0,29654206,20,2,1.000,-145,-72.5,39.00,19.5,380.0,51.5,1,95
03,1,DE5C6F,S,R1,S,0003,1779252420,1,0.000000,0.0,1,00,0,0,29654207,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
02,1,1D462D,S,N2-R1,S,000A,1779252440,4,0.000000,0.0,2,00,0,0,29654207,20,2,1.000,-142,-71.0,42.00,21.0,380.0,53.0,1,95
03,1,DE5C6F,S,R1,S,0004,1779252480,1,0.000000,0.0,1,00,0,0,29654208,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R1,S,000B,1779252500,4,0.000000,0.0,2,00,0,0,29654208,20,2,1.000,-145,-72.5,39.00,19.5,380.0,51.5,1,95
03,1,DE5C6F,S,R1,S,0005,1779252540,1,0.000000,0.0,1,00,0,0,29654209,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
02,1,1D462D,S,N2-R1,S,000C,1779252560,4,0.000000,0.0,2,00,0,0,29654209,20,2,1.000,-140,-70.0,44.00,22.0,380.0,54.0,1,95
03,1,DE5C6F,S,R1,S,0006,1779252600,1,0.000000,0.0,1,00,0,0,29654210,0,1,1.000,-79,-79.0,13.00,13.0,904.0,45.0,0,113
02,1,1D462D,S,N2-R1,S,000D,1779252620,4,0.000000,0.0,2,00,0,0,29654210,20,2,1.000,-138,-69.0,46.00,23.0,380.0,55.0,1,95
03,1,DE5C6F,S,R1,S,0007,1779252660,1,0.000000,0.0,1,00,0,0,29654211,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R1,S,000E,1779252680,4,0.000000,0.0,2,00,0,0,29654211,20,2,1.000,-140,-70.0,44.00,22.0,380.0,54.0,1,95
03,1,DE5C6F,S,R1,S,0008,1779252720,1,0.000000,0.0,1,00,0,0,29654212,0,1,1.000,-80,-80.0,12.00,12.0,904.0,44.0,0,113
02,1,1D462D,S,N2-R1,S,000F,1779252740,4,0.000000,0.0,2,00,0,0,29654212,20,2,1.000,-140,-70.0,44.00,22.0,380.0,54.0,1,95
03,1,DE5C6F,S,R1,S,0009,1779252780,1,0.000000,0.0,1,00,0,0,29654213,0,1,1.000,-82,-82.0,10.00,10.0,904.0,42.0,0,113
02,1,1D462D,S,N2-R1,S,0010,1779252800,4,0.000000,0.0,2,00,0,0,29654213,20,2,1.000,-140,-70.0,44.00,22.0,380.0,54.0,1,95
03,1,DE5C6F,S,R1,S,000A,1779252840,1,0.000000,0.0,1,00,0,0,29654214,0,1,1.000,-81,-81.0,11.00,11.0,904.0,43.0,0,113
